""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"512"	2.0598483897955e-17	0.270719711067376	0.714	0.546	4.11969677959099e-14	"10"	"Gpx1"
"513"	2.48321200537685e-07	0.27505547752412	0.327	0.093	0.00049664240107537	"10"	"Ube2c"
"514"	0	1.89892709871617	0.973	0.559	0	"11"	"Mpz"
"515"	0	1.61943397437072	0.827	0.344	0	"11"	"Pou3f1"
"516"	0	1.59162076336072	0.902	0.583	0	"11"	"Fos"
"517"	0	1.45474281423146	0.734	0.214	0	"11"	"Fxyd3"
"518"	0	1.45383583437672	0.762	0.191	0	"11"	"Ncmap"
"519"	0	1.390337060044	0.974	0.716	0	"11"	"Pmp22"
"520"	0	1.33069534815247	0.937	0.604	0	"11"	"Cryab"
"521"	0	1.33027409510755	0.96	0.533	0	"11"	"Plp1"
"522"	0	1.29481471080568	0.845	0.28	0	"11"	"Mal"
"523"	0	1.24435772637723	0.881	0.523	0	"11"	"Fosb"
"524"	0	1.21348326892521	0.847	0.473	0	"11"	"Nr4a2"
"525"	0	1.17646643669588	0.91	0.469	0	"11"	"Hbegf"
"526"	0	1.12694125673104	0.899	0.472	0	"11"	"Gatm"
"527"	0	1.11726126891433	0.757	0.33	0	"11"	"Fxyd6"
"528"	0	1.01261438982465	0.848	0.493	0	"11"	"Hspa1a"
"529"	0	0.999598448019652	0.974	0.717	0	"11"	"Timp3"
"530"	0	0.949742283912533	0.849	0.526	0	"11"	"Gadd45b"
"531"	0	0.942706280444381	0.699	0.152	0	"11"	"Fam178b"
"532"	0	0.930984264948397	0.916	0.477	0	"11"	"Gpm6b"
"533"	0	0.922658637438533	0.788	0.382	0	"11"	"Sox2"
"534"	0	0.921820654832697	0.966	0.767	0	"11"	"Lmna"
"535"	0	0.773133353766035	0.854	0.519	0	"11"	"Tnfrsf12a"
"536"	0	0.737027294138595	0.921	0.544	0	"11"	"Itgb8"
"537"	0	0.649740046865544	0.987	0.84	0	"11"	"Sparc"
"538"	0	0.560321880935559	0.839	0.442	0	"11"	"Itga6"
"539"	7.83633296947625e-306	0.994939243441629	0.847	0.558	1.56726659389525e-302	"11"	"Nr4a1"
